spine,title,year,director,boxset,movie_id,tmdb_id,runtime_min,genre,country,language,popularity,vote_average,vote_count
900,Memories of the Olympic Summer of 1952,1954,Unknown,100 Years of Olympic Films,memories-of-the-olympic-summer-of-1952-1954,471017,50,Documentary,Finland,fi,0.0773,5,1
900,Gold and Glory,1953,Hannu Leminen,100 Years of Olympic Films,gold-and-glory-1953,471016,97,Documentary,Finland,fi,0.2386,5,4
900,Where the World Meets,1952,Hannu Leminen,100 Years of Olympic Films,where-the-world-meets-1952,471015,101,Documentary,Finland,fi,0.1582,5,4
900,"The VI Olympic Winter Games, Oslo 1952",1952,Tancred Ibsen,100 Years of Olympic Films,the-vi-olympic-winter-games-oslo-1952-1952,471013,103,Documentary,Norway,no,0.2011,5,4
900,XIVth Olympiad: The Glory of Sport,1948,Castleton Knight,100 Years of Olympic Films,xivth-olympiad-the-glory-of-sport-1948,471011,138,Documentary,United Kingdom,en,0.6601,6.1,8
900,Fight Without Hate,1948,André Michel,100 Years of Olympic Films,fight-without-hate-1948,471010,91,Documentary,France,en,0.1255,6.3,3
900,Olympia Part Two: Festival of Beauty,1938,Leni Riefenstahl,100 Years of Olympic Films,olympia-part-two-festival-of-beauty-1938,685,104,Documentary,Germany,de,0.7231,6.704,81
900,Olympia Part One: Festival of the Nations,1938,Leni Riefenstahl,100 Years of Olympic Films,olympia-part-one-festival-of-the-nations-1938,677,127,Documentary,Germany,de,0.564,6.852,122
900,Youth of the World,1936,Carl Junghans,100 Years of Olympic Films,youth-of-the-world-1936,424648,38,Documentary,Germany,de,0.4019,5.538,13
900,"The Olympic Games, Amsterdam 1928",1928,Wilhelm Prager,100 Years of Olympic Films,the-olympic-games-amsterdam-1928-1928,470835,192,Documentary,,nl,0.073,5.2,8
900,The IX Olympiad in Amsterdam,1928,Unknown,100 Years of Olympic Films,the-ix-olympiad-in-amsterdam-1928,470833,251,Documentary,Italy,it,0.1611,5.2,5
900,The White Stadium,1928,Arnold Fanck & Othmar Gurtner,100 Years of Olympic Films,the-white-stadium-1928,270944,124,Documentary,Switzerland,de,0.2836,7.4,14
900,The Olympic Games in Paris 1924,1925,Jean de Rovera,100 Years of Olympic Films,the-olympic-games-in-paris-1924-1925,470830,174,Documentary,France,fr,0.1091,5.3,9
900,The Olympic Games as They Were Practiced in Ancient Greece,1924,Jean de Rovera,100 Years of Olympic Films,the-olympic-games-as-they-were-practiced-in-ancient-greece-1924,470826,8,Documentary,France,fr,0.1121,5.1,15
900,The 1924 Chamonix Olympic Games,1924,Jean de Rovera,100 Years of Olympic Films,the-1924-chamonix-olympic-games-1924,470824,37,Documentary,France,fr,0.1073,5.429,14
900,"The Games of the V Olympiad Stockholm, 1912",2017,Adrian Wood,100 Years of Olympic Films,the-games-of-the-v-olympiad-stockholm-1912-2017,470385,170,Documentary,"Sweden, Switzerland",en,0.2202,5.6,10
899,Personal Shopper,2016,Olivier Assayas,Standalone,personal-shopper-2016,340676,106,"Drama, Mystery, Thriller","Belgium, Czech Republic, France, Germany, United Kingdom",fr,2.1758,5.929,1303
898,Twin Peaks: Fire Walk with Me,1992,David Lynch,Standalone,twin-peaks-fire-walk-with-me-1992,1923,135,"Drama, Mystery, Horror",United States of America,en,5.6,7.407,2222
897,Barry Lyndon,1975,Stanley Kubrick,Standalone,barry-lyndon-1975,3175,188,"Drama, Romance, War, History","United Kingdom, United States of America",en,5.6196,8,3134
896,The Lure,2015,Agnieszka Smoczyńska,Standalone,the-lure-2015,375742,93,"Horror, Music, Romance, Fantasy, Thriller",Poland,pl,1.4819,6.154,285
895,David Lynch: The Art Life,2016,Olivia Neergaard-Holm & Rick Barnes & John Nguyen,Standalone,david-lynch-the-art-life-2016,413765,89,Documentary,United States of America,en,0.7787,6.951,214
894,The Piano Teacher,2001,Michael Haneke,Standalone,the-piano-teacher-2001,1791,131,"Drama, Romance","France, Austria",fr,6.0333,7.259,1248
893,Certain Women,2016,Kelly Reichardt,Standalone,certain-women-2016,340487,107,Drama,United States of America,en,1.9139,6.001,375
892,Festival,1967,Murray Lerner,Standalone,festival-1967,16247,97,"Documentary, Music",United States of America,en,0.8761,5.7,11
891,Poison,1951,Sacha Guitry,Standalone,poison-1951,65534,85,Comedy,France,fr,1.1738,7.2,75
890,Meantime,1983,Mike Leigh,Standalone,meantime-1983,57978,107,"Drama, Comedy",United Kingdom,en,1.3752,6.689,106
889,The Breaking Point,1950,Michael Curtiz,Standalone,the-breaking-point-1950,37954,97,"Crime, Drama",United States of America,en,0.954,7.1,88
888,Stalker,1979,Andrei Tarkovsky,Standalone,stalker-1979,1398,162,"Science Fiction, Drama",Soviet Union,ru,4.8183,8.1,2463
887,Lost in America,1985,Albert Brooks,Standalone,lost-in-america-1985,27223,91,Comedy,United States of America,en,1.3211,6.87,165
886,L'Argent,1983,Robert Bresson,Standalone,largent-1983,42112,85,"Crime, Drama","France, Switzerland",fr,1.2436,6.95,282
885,The Lodger: A Story of the London Fog,1927,Alfred Hitchcock,Standalone,the-lodger-a-story-of-the-london-fog-1927,2760,91,"Crime, Thriller, Mystery",United Kingdom,en,0.7887,7.1,328
884,César,1936,Marcel Pagnol,The Marseille Trilogy,césar-1936,43873,141,"Comedy, Drama",France,fr,2.5398,7.6,75
883,Fanny,1932,Marc Allégret,The Marseille Trilogy,fanny-1932,43146,127,"Comedy, Drama",France,fr,0.8469,7.5,76
882,Marius,1931,Alexander Korda,The Marseille Trilogy,marius-1931,42818,128,"Comedy, Drama, Romance",France,fr,0.7251,7.4,99
