movie_id,director
calgary-88-16-days-of-glory-1989,Bud Greenspan
16-days-of-glory-1985,Bud Greenspan
a-turning-point-1984,Kim Takal
o-sport-you-are-peace-1981,Yuri Ozerov
olympic-spirit-1980,Drummond Challis
olympic-spirit-1980,Tony Maylam
games-of-the-xxi-olympiad-1977,Jean-Claude Labrecque
games-of-the-xxi-olympiad-1977,Jean Beaudin
games-of-the-xxi-olympiad-1977,Marcel Carrière
games-of-the-xxi-olympiad-1977,Georges Dufaux
white-rock-1977,Tony Maylam
sapporo-winter-olympics-1972,Masahiro Shinoda
the-olympics-in-mexico-1969,Alberto Isaac
snows-of-grenoble-1968,Jacques Ertaud
snows-of-grenoble-1968,Jean-Jacques Languepin
13-days-in-france-1968,Claude Lelouch
13-days-in-france-1968,François Reichenbach
sensation-of-the-century-1966,Hiroshi Maeda
sensation-of-the-century-1966,Tatsuji Yamagishi
ix-olympic-winter-games-innsbruck-1964-1964,Theo Hörmann
the-grand-olympics-1961,Romolo Marcellini
people-hopes-medals-1960,Heribert Meisel
the-horse-in-focus-1956,Unknown
alain-mimoun-1959,Louis Gueguen
the-melbourne-rendezvous-1957,René Lucot
olympic-games-1956-1956,Peter Whitchurch
white-vertigo-1956,Giorgio Ferroni
memories-of-the-olympic-summer-of-1952-1954,Unknown
gold-and-glory-1953,Hannu Leminen
where-the-world-meets-1952,Hannu Leminen
the-vi-olympic-winter-games-oslo-1952-1952,Tancred Ibsen
xivth-olympiad-the-glory-of-sport-1948,Castleton Knight
fight-without-hate-1948,André Michel
olympia-part-two-festival-of-beauty-1938,Leni Riefenstahl
olympia-part-one-festival-of-the-nations-1938,Leni Riefenstahl
youth-of-the-world-1936,Carl Junghans
the-olympic-games-amsterdam-1928-1928,Wilhelm Prager
the-ix-olympiad-in-amsterdam-1928,Unknown
the-white-stadium-1928,Arnold Fanck
the-white-stadium-1928,Othmar Gurtner
the-olympic-games-in-paris-1924-1925,Jean de Rovera
the-olympic-games-as-they-were-practiced-in-ancient-greece-1924,Jean de Rovera
the-1924-chamonix-olympic-games-1924,Jean de Rovera
the-games-of-the-v-olympiad-stockholm-1912-2017,Adrian Wood
personal-shopper-2016,Olivier Assayas
twin-peaks-fire-walk-with-me-1992,David Lynch
barry-lyndon-1975,Stanley Kubrick
the-lure-2015,Agnieszka Smoczyńska
