spine,title,year,boxset,runtime_min,language,tmdb_popularity,tmdb_vote_avg,tmdb_vote_count,imdb_rating,metascore,tmdb_id,movie_id
1206,A Tale of Springtime,1990,Eric Rohmer’s Tales of the Four Seasons,107,French,1.4635,6.8,167,7.1,NA,28213,a-tale-of-springtime-1990
1205,Mudbound,2017,Standalone,135,English,2.0133,7.365,1296,7.4,85,414425,mudbound-2017
1204,Trainspotting,1996,Standalone,94,English,6.6046,7.959,10285,8.1,83,627,trainspotting-1996
1203,The Meetings of Anna,1978,Chantal Akerman Masterpieces,128,French,0.8338,7,66,7.3,NA,93669,the-meetings-of-anna-1978
1203,News from Home,1976,Chantal Akerman Masterpieces,89,French,0.4201,6.955,88,7.3,NA,86814,news-from-home-1976
1203,Je Tu Il Elle,1974,Chantal Akerman Masterpieces,86,French,1.1791,6.523,110,6.7,NA,93934,je-tu-il-elle-1974
1203,Le 15/8,1973,Chantal Akerman Masterpieces,43,French,0.2953,5.25,8,6.7,NA,186660,le-158-1973
1203,Hotel Monterey,1973,Chantal Akerman Masterpieces,60,None Spoken,0.3749,6.018,28,6.2,NA,108831,hotel-monterey-1973
1203,The Chamber,1972,Chantal Akerman Masterpieces,11,None Spoken,0.7048,5.333,39,5.9,NA,109383,the-chamber-1972
1203,"The Beloved Child, or I Play at Being a Married Woman",1971,Chantal Akerman Masterpieces,35,French,0.4703,6.556,9,6.7,NA,415922,the-beloved-child-or-i-play-at-being-a-married-woman-1971
1203,Saute ma ville,1968,Chantal Akerman Masterpieces,13,French,0.3775,6.3,53,6.3,NA,49479,saute-ma-ville-1968
1202,Lone Star,1996,Standalone,135,English,2.7498,7.011,401,7.4,79,26748,lone-star-1996
1201,Guillermo del Toro's Pinocchio,2022,Standalone,117,English,5.6121,8.021,3275,7.6,79,555604,guillermo-del-toros-pinocchio-2022
1200,Circus Angel,1965,The Red Balloon and Other Stories: Five Films by Albert Lamorisse,75,French,0.7216,5.714,7,7,NA,198815,circus-angel-1965
1200,Stowaway in the Sky,1960,The Red Balloon and Other Stories: Five Films by Albert Lamorisse,85,French,0.8065,5.5,4,6.6,NA,204199,stowaway-in-the-sky-1960
1200,The Red Balloon,1956,The Red Balloon and Other Stories: Five Films by Albert Lamorisse,34,French,0.8545,7.748,436,8.1,NA,15265,the-red-balloon-1956
1200,White Mane,1953,The Red Balloon and Other Stories: Five Films by Albert Lamorisse,41,French,0.989,6.7,60,7.2,NA,15382,white-mane-1953
1200,"Bim, the Little Donkey",1951,The Red Balloon and Other Stories: Five Films by Albert Lamorisse,45,French,0.123,7,5,6.7,NA,273086,bim-the-little-donkey-1951
1199,La Cérémonie,1995,Standalone,112,French,2.5699,7.281,389,7.5,NA,1802,la-cérémonie-1995
1198,Mean Streets,1973,Standalone,111,English,2.6994,7.1,2268,7.2,96,203,mean-streets-1973
1197,My Lucky Stars,1985,Jackie Chan: Emergence of a Superstar,96,Cantonese,4.3416,6.6,236,6.3,NA,10044,my-lucky-stars-1985
1197,The Young Master,1980,Jackie Chan: Emergence of a Superstar,107,Cantonese,2.9785,7,238,7,NA,11563,the-young-master-1980
1197,Fearless Hyena 2,1983,Jackie Chan: Emergence of a Superstar,92,Cantonese,2.3077,5.7,86,5,NA,18741,fearless-hyena-2-1983
1197,Fearless Hyena,1979,Jackie Chan: Emergence of a Superstar,97,Cantonese,3.4025,6.682,173,6.6,NA,19274,fearless-hyena-1979
1197,Spiritual Kung Fu,1978,Jackie Chan: Emergence of a Superstar,99,Cantonese,2.4126,5.875,96,5.8,NA,18760,spiritual-kung-fu-1978
1197,Half a Loaf of Kung Fu,1978,Jackie Chan: Emergence of a Superstar,97,Mandarin,2.3131,6.159,88,5.6,NA,18867,half-a-loaf-of-kung-fu-1978
1196,Nanny,2022,Standalone,98,English,2.612,5.4,225,5.3,72,843932,nanny-2022
1195,The Others,2001,Standalone,101,English,8.8541,7.617,7063,7.6,74,1933,the-others-2001
1194,Freaks,1932,Tod Browning's Sideshow Shockers,64,English,3.2694,7.768,1292,7.8,80,136,freaks-1932
1194,The Unknown,1927,Tod Browning's Sideshow Shockers,68,None Spoken,0.9925,7.5,208,7.7,NA,27503,the-unknown-1927
1194,The Mystic,1925,Tod Browning's Sideshow Shockers,73,None Spoken,0.7784,6.6,12,6.7,NA,184448,the-mystic-1925
1193,La Bamba,1987,Standalone,108,English,3.1691,7.254,769,7,65,16620,la-bamba-1987
1192,Moonage Daydream,2022,Standalone,135,English,1.6258,7.511,262,7.6,83,957457,moonage-daydream-2022
1191,The Trial,1962,Standalone,119,English,1.7938,7.421,548,7.6,NA,3009,the-trial-1962
1190,Drylongso,1998,Standalone,81,English,1.3093,5.9,8,6.5,NA,329587,drylongso-1998
1189,Adalen 31,1969,Bo Widerberg’s New Swedish Cinema,114,Swedish,0.5413,6.523,44,7,NA,87208,adalen-31-1969
1189,Elvira Madigan,1967,Bo Widerberg’s New Swedish Cinema,91,Swedish,0.8257,6.9,49,7,NA,42692,elvira-madigan-1967
1189,Raven's End,1963,Bo Widerberg’s New Swedish Cinema,97,Swedish,1.2968,7,35,7.4,NA,47206,ravens-end-1963
1189,The Baby Carriage,1963,Bo Widerberg’s New Swedish Cinema,95,Swedish,0.4677,6.833,24,6.7,NA,135380,the-baby-carriage-1963
